1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,
0.999991,0.00244537,0.00334913,0.00093327,-0.00245277,0.999995,0.00220857,0.00357917,-0.00334371,-0.00221677,0.999992,-0.666595,0,0,0,1,
0.999971,0.00107577,0.00755218,0.00130545,-0.00110297,0.999993,0.00359869,0.00558543,-0.00754826,-0.00360692,0.999965,-1.36014,0,0,0,1,
0.999938,0.000836327,0.0111237,0.00977935,-0.00089386,0.999986,0.00516807,0.000783053,-0.0111192,-0.00517769,0.999925,-2.06307,0,0,0,1,
0.999869,-0.000375232,0.0161838,0.00296838,0.000282045,0.999983,0.00575991,-0.00122814,-0.0161857,-0.00575459,0.999852,-2.80089,0,0,0,1,
0.999791,0.000486687,0.0204344,-0.00535612,-0.000606371,0.999983,0.00585122,0.00852064,-0.0204312,-0.00586239,0.999774,-3.54479,0,0,0,1,
0.999689,-0.00131097,0.0249226,-0.0141984,0.00113133,0.999973,0.00722065,0.00173321,-0.0249314,-0.00719021,0.999663,-4.30159,0,0,0,1,
0.999557,-0.00414794,0.029471,-0.0222274,0.00391386,0.99996,0.00799576,0.00244209,-0.029503,-0.00787688,0.999534,-5.06292,0,0,0,1,
0.999417,-0.00468326,0.0338214,-0.0388065,0.00447686,0.999971,0.00617589,0.0181534,-0.0338493,-0.00602087,0.999409,-5.85189,0,0,0,1,
0.999247,-0.00374536,0.0386222,-0.068622,0.00360398,0.999987,0.00372943,0.0322581,-0.0386357,-0.00358743,0.999247,-6.66053,0,0,0,1,
0.999115,-0.0033307,0.0419251,-0.0837742,0.00329934,0.999994,0.000817142,0.061845,-0.0419276,-0.000678094,0.99912,-7.46486,0,0,0,1,
0.999008,-0.00463954,0.0442852,-0.0902857,0.00456636,0.999988,0.00175367,0.0605453,-0.0442928,-0.0015497,0.999017,-8.27746,0,0,0,1,
0.998907,-0.00407878,0.046557,-0.10779,0.00400008,0.99999,0.00178335,0.0657526,-0.0465639,-0.00159517,0.998914,-9.10157,0,0,0,1,
0.998847,-0.00157946,0.047986,-0.114363,0.00146085,0.999996,0.00250675,0.0615413,-0.0479897,-0.00243376,0.998845,-9.92953,0,0,0,1,
0.998737,-0.000794988,0.0502422,-0.138101,0.000709954,0.999998,0.00171031,0.0731771,-0.0502434,-0.00167248,0.998736,-10.7754,0,0,0,1,
0.99865,0.000803907,0.0519458,-0.159209,-0.000902085,0.999998,0.00186659,0.078793,-0.0519442,-0.00191093,0.998648,-11.6247,0,0,0,1,
